dataset,backbone,method,budget,n,test_macro_f1_mean,test_macro_f1_sd,test_macro_f1_ci_low,test_macro_f1_ci_high,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci_low,test_accuracy_ci_high,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_balanced_accuracy_ci_low,test_balanced_accuracy_ci_high
aqua20,resnet18,marine_adapter,100,5,0.6445971555840485,0.014638291816800366,0.6323761193086371,0.6550530540344986,0.8108154506437769,0.003914765408065725,0.8075536480686696,0.8137339055793991,0.6225368976658834,0.011797330034146,0.6129955728077108,0.6311115707240079
aqua20,resnet18,mlp_head,100,5,0.6514180047005778,0.015702181968147027,0.6390265185966516,0.6629285885066876,0.8175107296137339,0.003570237655465313,0.8149356223175965,0.8206008583690988,0.6394504566929513,0.010826843630832708,0.6307759842558958,0.6475729222591468
fathomnet,dinov2_small,full_finetune,001,5,0.12460411148775682,0.023805087433480754,0.10981041439633496,0.1458233527833564,0.1357332546473886,0.02374461241841545,0.11950427854824433,0.1559161994688699,0.1456825024120953,0.026757950934071073,0.12892631444974856,0.16910640942926633
fathomnet,dinov2_small,last_block_ft,001,5,0.06256677259680304,0.014858868478219236,0.051907626263646936,0.07539825845548344,0.0695190321628799,0.016477350445721125,0.05789318383003835,0.08326940100324579,0.07500797473168103,0.01739089329131163,0.062375821164211295,0.0897414012456167
fathomnet,dinov2_small,linear_probe,001,5,0.024730957368596044,0.00532436431317132,0.02056107079853925,0.028752466622019683,0.027264679846562407,0.006909355747166789,0.022248450870463267,0.03310711124225435,0.02851468908025532,0.007347341766130504,0.023183281913361064,0.034477378556154556
fathomnet,dinov2_small,marine_adapter,001,5,0.031425612250732926,0.006564355562294928,0.026094098450238662,0.03638931406414427,0.039952788433166124,0.007822477228506106,0.03381528474476246,0.045913248745942756,0.041966171662689435,0.007291797546910509,0.03589407349808141,0.047278265569687575
fathomnet,dinov2_small,mlp_head,001,5,0.06307915760745413,0.010620780212229843,0.055689862586920325,0.07213168440833197,0.0753024491000295,0.014468174148317548,0.06556506344054294,0.08775449985246386,0.07877213243963088,0.016439046711100514,0.06749170346959363,0.09212412737348143
fathomnet,dinov2_small,full_finetune,005,5,0.4117930090720587,0.036642801851859676,0.382630669065185,0.44095534907893247,0.4238418412511066,0.035128849057216034,0.3962820891118324,0.45140159339038066,0.42703285419705794,0.03594049533900541,0.3984481634466904,0.45561754494742557
fathomnet,dinov2_small,last_block_ft,005,5,0.30704006732669686,0.021110089105464146,0.29231139164687214,0.32447479343165436,0.31513720861611094,0.016653949211035298,0.3041605193272352,0.330126881085866,0.32444873332749014,0.02139953620749831,0.3109123486328163,0.34356576180976545
fathomnet,dinov2_small,linear_probe,005,5,0.12890501423616124,0.01190271217019653,0.11919526543687757,0.1383249117018579,0.1422838595455887,0.011751881509037408,0.1328415461788138,0.15184420182944822,0.1468675522312069,0.011425377423522249,0.1378848903051461,0.15653471652927045
fathomnet,dinov2_small,marine_adapter,005,5,0.18892004286007516,0.01965894466493428,0.1738718579375947,0.20458404720745374,0.2023605783416937,0.021463745982908778,0.18477426969607555,0.21912068456771908,0.21479885715749472,0.02219653439336719,0.19798438437506857,0.23228740113671273
fathomnet,dinov2_small,mlp_head,005,5,0.25693334411695584,0.017137442411587763,0.2435644808332472,0.2703022074006644,0.2854529359693125,0.01560204339277146,0.27382708763647096,0.29713779876069635,0.2956242737091975,0.01704750553616917,0.2820810024633863,0.30916754495500876
fathomnet,dinov2_small,full_finetune,010,5,0.5730683546813868,0.0223861019088122,0.5545833218010336,0.5911120467707892,0.5834169371496016,0.023606152254421527,0.5632930067866628,0.6006491590439659,0.5860184638900987,0.02263668196819518,0.5669601505784195,0.60427294686009
fathomnet,dinov2_small,last_block_ft,010,5,0.4669561423258825,0.009826119832439154,0.4595164867725243,0.475230515226284,0.474358217763352,0.006296181751964835,0.4691649454116259,0.4790793744467394,0.4813944777911054,0.00940041495438311,0.47377400326490193,0.48872591635259965
fathomnet,dinov2_small,linear_probe,010,5,0.28242490118972297,0.012033816860002478,0.2732696295115663,0.29158017286787963,0.29666568309235763,0.009745429763014138,0.28934789023310714,0.30398347595160813,0.3026210694621937,0.010828107425725812,0.2943258726976198,0.3109162662267676
fathomnet,dinov2_small,marine_adapter,010,5,0.34831704088835425,0.020686683459076993,0.3327898100183843,0.364903693697748,0.3670699321333727,0.020681389449507512,0.3511950427854824,0.3829448214812629,0.37941704717719776,0.02299070699162648,0.362152353498269,0.3975797724385112
fathomnet,dinov2_small,mlp_head,010,5,0.4009699178609979,0.012840767372356766,0.3944384042077094,0.41243273614508036,0.42177633520212454,0.01177815347895124,0.41445854234287405,0.43228090882266157,0.431998202764995,0.014437325528753377,0.42382930252758716,0.44518976049994696
fathomnet,dinov2_small,full_finetune,100,5,0.8097715361276421,0.004599296199519977,0.8056582845122987,0.8128689549115947,0.8215402773679552,0.004403404071869077,0.8179403953968721,0.8247860725877839,0.8181771964336916,0.004975280355251207,0.8139081647309487,0.8214599292467575
fathomnet,dinov2_small,last_block_ft,100,5,0.7292882453641524,0.005685115504162555,0.7249545218772405,0.7340190558599292,0.7393921510770138,0.005175975110438193,0.7349660666863381,0.7434051342578931,0.7396619432845511,0.004792663166685268,0.7362173199489501,0.7436242324136766
fathomnet,dinov2_small,linear_probe,100,5,0.6384763868930132,0.0041126823350988604,0.6354261134751457,0.6417562234512041,0.648509884921806,0.0035371771858344367,0.6457952198288581,0.6512835644732959,0.65134781440614,0.004121306902611298,0.6480851716863385,0.6546104571259413
